NVRID,NAMN,SKYDDSTYP,BESLSTATUS,URSBESLDAT,URSGALLDAT,SENGALLDAT,LAN,KOMMUN,IUCNKAT,FORVALTARE,AREA_HA,LAND_HA,VATTEN_HA,SKOG_HA,GEOSTATUS,DIARIENR,LAGRUM,BESLMYND
2013317,Sunnanå,Naturreservat,Gällande,"""2007-05-29T00:00:00.000Z""","""2007-07-05T00:00:00.000Z""","""2007-07-05T00:00:00.000Z""",Västra Götalands Län,Mellerud,"Ia, Strikt naturreservat (Strict Nature Reserve)",Melleruds kommun,133.99,43.95,89.88,14.265,Ospecificerad,511-51453-2007,Miljöbalken,Kommun
2002370,Nöttja Ryaskogs domänreservat,Naturreservat,Gällande,"""1996-09-23T00:00:00.000Z""","""1997-01-08T00:00:00.000Z""","""1997-01-08T00:00:00.000Z""",Kronobergs Län,Ljungby,"0, Områden som ej kan klassificeras enligt IUCN: s system.",Länsstyrelsen i Kronobergs län,2.03,2.04,0,2.023,Slutligt inmätt,231-3407-96 / 511-3076-06,Naturvårdslagen,Länsstyrelse
2000551,Öjemossarna,Naturreservat,Gällande,"""1982-01-25T00:00:00.000Z""","""1982-02-15T00:00:00.000Z""","""1992-02-07T00:00:00.000Z""",Västra Götalands Län,Vänersborg,"Ia, Strikt naturreservat (Strict Nature Reserve)",Sveaskog AB,302.11,301.01,1.09,217.636,Justerad mot fastighetskarta,231-2510-91,Naturvårdslagen,Länsstyrelse
2014612,Pulken-Yngsjön,Naturreservat,Gällande,"""2009-02-02T00:00:00.000Z""","""2009-02-02T00:00:00.000Z""","""2009-02-02T00:00:00.000Z""",Skåne Län,Kristianstad,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Skåne län,305.95,281.64,24.32,65.814,Justerad mot fastighetskarta,"511-8435-04, 511-4362-09",Miljöbalken,Länsstyrelse
2002532,Bredforsen,Naturreservat,Gällande,"""1999-03-26T00:00:00.000Z""","""1999-12-28T00:00:00.000Z""","""2014-12-22T00:00:00.000Z""",Uppsala Län,Tierp,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Upplandsstiftelsen,349.74,217.68,132.03,123.858,Ospecificerad,511-6004-11,Miljöbalken,Länsstyrelse
2022709,Krokbäcken,Naturreservat,Gällande,"""2011-05-23T00:00:00.000Z""","""2011-09-23T00:00:00.000Z""","""2011-09-23T00:00:00.000Z""",Dalarnas Län,"Avesta, Hedemora","0, Områden som ej kan klassificeras enligt IUCN: s system.",Länsstyrelsen i Dalarnas län,74.85,74.92,0,72.627,Slutligt inmätt,511-9849-09,Miljöbalken,Länsstyrelse
2046152,Grevinnans rå,Naturreservat,Beslutat,"""2016-12-19T00:00:00.000Z""","""2017-01-20T00:00:00.000Z""","""2017-01-20T00:00:00.000Z""",Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,53.09,53.14,0,46.672,Ospecificerad,511-24489-2012 (fd 18513-2001-15892),Miljöbalken,Länsstyrelse
2000854,Marabacken-Notvikrå,Naturreservat,Gällande,"""1988-05-10T00:00:00.000Z""","""1988-05-31T00:00:00.000Z""","""1988-05-31T00:00:00.000Z""",Norrbottens Län,Kalix,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Norrbottens län,13.18,13.2,0,11.63,Slutligt inmätt,221-6349-87,Naturvårdslagen,Länsstyrelse
2031029,Testeboskogen,Naturreservat,Gällande,"""2012-12-07T00:00:00.000Z""","""2013-01-03T00:00:00.000Z""","""2013-01-03T00:00:00.000Z""",Gävleborgs Län,Gävle,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Gävle kommun,390.8,390.83,0,373.038,Ospecificerad,511-6030-12,,Kommun
2043586,Basttjärnsrönningen,Naturreservat,Gällande,"""2015-10-07T00:00:00.000Z""","""2015-10-31T00:00:00.000Z""","""2015-10-31T00:00:00.000Z""",Gävleborgs Län,Nordanstig,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Gävleborgs län,177.67,177.64,0,162.774,Slutligt inmätt,"511-5172-11, 32-227",Miljöbalken,Länsstyrelse
